标题,发布日期,作者,是否原创,所属合集,摘要,原文链接
招募 | 北京同志中心心理项目官员,2020-02-19 20:30,北京同志中心,原创,,真诚的邀请你加入北京同志中心心理健康部门，为中国同志（性少数人群）提供专业与正向的心理支持。,https://mp.weixin.qq.com/s/3a9mm88CfFjFV0jsMwFfmw
有哪些瞬间，让你很希望自己能和爱的人结婚？,2020-02-19 20:30,北京同志中心,原创,,中国大陆的同性伴侣什么时候才能合法结婚？我们的婚姻会是什么样子？现在我们要怎样做，才能争取到这份应该属于我们的权利？,https://mp.weixin.qq.com/s/PWpl-7vWvU-B5j8FD-Tokw
疫情期间如何解压？跨儿厨娘在线支招！,2020-02-19 20:30,北京同志中心,原创,,疫情来袭不出门，百无聊赖人颓废。要不就是课业多，压力山大把人锤。 问我什么最好玩，轻松舒压解疲惫？当是中华,https://mp.weixin.qq.com/s/7SlH60eIbvcMECNi7H8noQ
招募 | 北京同志中心心理项目官员,2020-02-18 21:13,北京同志中心,原创,,真诚的邀请你加入北京同志中心心理健康部门，为中国同志（性少数人群）提供专业与正向的心理支持。,https://mp.weixin.qq.com/s/l03vA86Wj82tJVRMVAJTPQ
有哪些瞬间，让你很希望自己能和爱的人结婚？,2020-02-18 21:13,北京同志中心,原创,,中国大陆的同性伴侣什么时候才能合法结婚？我们的婚姻会是什么样子？现在我们要怎样做，才能争取到这份应该属于我们的权利？,https://mp.weixin.qq.com/s/QYlEjpeoyk4O_RTjAKJn9g
是“他”不是“她”：我喜欢女生，但我讨厌自己是女生,2020-02-17 20:30,TSECC,,,做了很多年T之后，我才知道自己不是Tomboy，而是Transgender。,https://mp.weixin.qq.com/s/jxkYx5pW5CUMP_wOk3OxMw
【有奖】跨性别人群性别认同与心理健康调研进行中！,2020-02-16 20:30,公益组织跨之声,,,邀请各位跨性别社群的朋友填写调研问卷,https://mp.weixin.qq.com/s/vgqMwRRNpxxv4XsOQA1tJQ
1月Newsletter | 北同1月都做了什么,2020-02-16 20:30,北京同志中心,原创,,1月newsletter,https://mp.weixin.qq.com/s/isqUdJ79KOL2LT4XWIj6eA
双向日记：一个情绪症少女的涅槃,2020-02-16 20:30,北京同志中心,原创,,北京同志中心现已面向所有LGBT人士开展线上心理咨询服务！,https://mp.weixin.qq.com/s/x1r1LETB3pk65lYlkRuchQ
也许我不再是你怀念的那个北同,2020-02-14 20:53,北京同志中心,原创,,今天是中心12岁的生日，在这个生日我们想对大家说……,https://mp.weixin.qq.com/s/14bHZ949EcxTVTaXMBMRtQ
研究招募丨国内心理咨询师有帮助到性少数来访者吗?,2020-02-13 20:30,北京同志中心,原创,,也许您一个小的举动就能推动同志健康服务环境的改善,https://mp.weixin.qq.com/s/UV8JfrKsa2fVu_NVK8f_LQ
抗疫行动！跨儿动物园线上大作战,2020-02-13 20:30,北京同志中心,原创,,北京同志中心跨性别部门携“跨儿空间”强势回归！,https://mp.weixin.qq.com/s/GpGzqZ1_V06R6RPByu2qyQ
招募 | 为提供中国性少数人群专业与正向的心理支持保驾护航,2020-02-12 21:37,北京同志中心,原创,,真诚的邀请你加入北京同志中心心理健康部门，为中国同志（性少数人群）提供专业与正向的心理支持。,https://mp.weixin.qq.com/s/9DV7-6kjFE9EuiCt2Mh9-w
志愿者newsletter丨1月志愿者干了啥,2020-02-12 21:37,北京同志中心,原创,,新年第一副本开启！,https://mp.weixin.qq.com/s/CZzrWtsHvwNBqh45KA20rw
网络支持小组 | 与疫情相遇，不相见也有支持,2020-02-11 20:30,北京同志中心,,,最后两个名额，抓紧报名啦！,https://mp.weixin.qq.com/s/4Eg483eAl-P557TV6VIfdg
招募 | 北京同志中心心理项目官员,2020-02-11 20:30,北京同志中心,原创,,真诚的邀请你加入北京同志中心心理健康部门，为中国同志（性少数人群）提供专业与正向的心理支持。,https://mp.weixin.qq.com/s/adHqa3pISjdFQxawKRw1uw
跨青年征稿启事,2020-02-10 19:44,TSECC,,,TRANS EDUCATION  Pictures From shishi 在2019我们完成了两期跨青,https://mp.weixin.qq.com/s/HFoOzzrqqDW7TWIgt5An_Q
【招聘】疫情过去前，你是我最想见的人,2020-02-10 19:44,期待你加入的,,,2020年打开方式实在是太糟心了！但希望能在这里遇见你。这里有一群神奇的人，TA们关注性别教育，校园性别欺,https://mp.weixin.qq.com/s/Pg7Ifpka7GK1rmFDrbIUTQ
认识一个疫区拉拉，这次，我们不谈恋爱｜拉拉扯扯,2020-02-09 21:00,北京同志中心,原创,,愿我们能够手牵着手，走过这黎明之前的至暗时刻,https://mp.weixin.qq.com/s/YGYwCqSqgU4ta1hhyVljPQ
2月15日截止 ｜ 职场多元计划春季实习生招募,2020-02-09 21:00,北京同志中心,原创,,职场多元计划招募春季实习生啦！,https://mp.weixin.qq.com/s/4iJcObEyKSqspEmUhVXD1w
北京同志中心筹款业务处春季实习生招募,2020-02-08 21:36,北京同志中心,原创,,北京同志中心发展部春季实习生招募开始啦！,https://mp.weixin.qq.com/s/l_I56c8_IE3_kfb2SPmgtg
认识一个疫区拉拉，这次，我们不谈恋爱｜拉拉扯扯,2020-02-08 21:36,北京同志中心,原创,,愿我们能够手牵着手，走过这黎明之前的至暗时刻,https://mp.weixin.qq.com/s/oV0-6zBAxFJh7K8XB6BmJg
关于北京同志中心暂时关闭线下办公场地与活动空间的通知,2020-02-06 20:30,北京同志中心,原创,,在国家相关部门宣布新型冠状病毒已得到有效控制之前，中心决定暂时关闭中心线下的办公场地与活动空间。,https://mp.weixin.qq.com/s/qqgCWfLpKog2qcioEjS32Q
分享图片,2020-01-24 20:07,--,,,,https://mp.weixin.qq.com/s/pRUJ_PfJqm8Cl7LeqBbWOg
分享图片,2020-01-23 10:00,--,,,,https://mp.weixin.qq.com/s/ojh8v8PAqbOkrU0TMlt4PA
2020年考验不少，我们也很怕 | 北同2019年终报告,2020-01-22 19:38,北京同志中心,,,关关难过关关过,https://mp.weixin.qq.com/s/M7t7VMWQuMOL1OdNMYA2NQ
直播预告 | 彩虹归途，平台账号来关注呀！,2020-01-18 20:48,你们的镇镇,,,19日晚直播平台本期公布，LGBT+伙伴快来关注一波吧！,https://mp.weixin.qq.com/s/hAu4VGnFFvFxTtNlqAxmBA
致月捐人的一封信,2020-01-18 20:48,北京同志中心,原创,,关于修改月捐通道的告知说明,https://mp.weixin.qq.com/s/Sg3Zy0c4JCtifdWHxiH6rA
我们是gay版的“致命女人”,2020-01-17 22:01,GS乐点,,,他说：“我们都出了问题，一起去医院吧！”,https://mp.weixin.qq.com/s/Kvvlo7KmDJZgqTOUmK4BgQ
发展部春季实习生招募,2020-01-17 22:01,北京同志中心,,,北京同志中心发展部春季实习生招募开始啦！,https://mp.weixin.qq.com/s/wIKf34Uk0NYe1h6tCao7Pg
年前LGBT职场达人都去哪里社交了,2020-01-16 20:30,北京同志中心,原创,,来看看年前最后一次彩虹商务酒会吧！,https://mp.weixin.qq.com/s/rt0yV73N0kIgV3oEAsIh_Q
同志催泪大片：只用生活来回应,2020-01-16 20:30,淡蓝,,,爱，本该如此开阔,https://mp.weixin.qq.com/s/AzOBaJEFuge4TbrGZXulSQ
线上直播 | 回家团圆彩虹归途,2020-01-15 20:30,你们的镇镇,,,“彩虹回家路”线上直播科普，快来上车！,https://mp.weixin.qq.com/s/b9js5wWsY2iH7i7gR2E_cA
周四丨鸡兔同笼派对，来了就是姐妹,2020-01-15 20:30,别的女孩,,,为女性&酷儿准备的新年礼物,https://mp.weixin.qq.com/s/c9mBzlN5Ppdhm0w9SdL7-w
12月Newsletter | 北同12月都做了什么,2020-01-14 21:37,北京同志中心,原创,,北同12月做了什么？,https://mp.weixin.qq.com/s/JlRiqT_obDJU9N1zDjg8VQ
1.14｜LGBT职场达人年前最后一次社交机会 LGBT Business Networking,2020-01-13 21:31,北京同志中心,,,LGBT Networking—Last Chance before Spring Festival,https://mp.weixin.qq.com/s/n6ldebega50PgDZdXRv92g
天猫的同志情节广告，我为什么不喜欢？,2020-01-13 21:31,北京同志中心,原创,,这真的是“了不起”的一步吗？,https://mp.weixin.qq.com/s/dAzcbTvsf7teT8GekcGCrQ
最后一弹！跨儿空间含泪与您说再见！,2020-01-12 21:15,北京同志中心,原创,,暂时的分别是为了将来更好的相聚！在跨儿空间一年多的成长，我们都将迎来毕业，去向更广阔的天地！,https://mp.weixin.qq.com/s/FX4cavEwvivHsUhgiTpzaQ
鸡兔同笼，送你一“行”！迎春派对+DJ工作坊@Zhaodai,2020-01-12 21:15,别的女孩,,,为女性&酷儿准备的新年礼物,https://mp.weixin.qq.com/s/VputjI0JMhXRpfIZc6O0fA
1.14｜LGBT职场达人年前最后一次社交机会,2020-01-11 20:51,北京同志中心,,,LGBT Networking—Last Chance before Spring Festival,https://mp.weixin.qq.com/s/tzRnJ4iSfoh0JJFZOkHmLw
线上直播 | 回家团圆彩虹归途,2020-01-10 20:30,你们的镇镇,,,“彩虹回家路”线上直播科普，快上车,https://mp.weixin.qq.com/s/IW5V0-sR6mf19IJ7WtHEdQ
天猫广告出现同性伴侣，这个“瓜“我们该怎么吃？,2020-01-10 20:30,同志权益促进会编辑团队,,,这个“瓜”到底怎么样，我们和大家一起来“品一品”。,https://mp.weixin.qq.com/s/597rlvN4Dss-aSragxCSRw
2019年有哪些明星出柜了｜年度同运回首与展望,2020-01-09 20:30,北京同志中心,,,2019年同运大事记,https://mp.weixin.qq.com/s/rz-p4XO1dA4abXbq8xLmHg
20多分钟，我们一起创造改变？丨有意见建议同性婚姻合法化写入民法典,2020-01-08 20:30,爱成家,,,线上提交意见，只需要20多分钟，您就有可能改变中国同志的命运！,https://mp.weixin.qq.com/s/duk3NCiBQ67Jo31xu-GN-Q
最后一弹！跨儿空间含泪与您说再见！,2020-01-08 20:30,北京同志中心,原创,,暂时的分别是为了将来更好的相聚！在跨儿空间一年多的成长，我们都将迎来毕业，去向更广阔的天地！,https://mp.weixin.qq.com/s/sqYak3uIeuvZcU7w5yvnQg
2019的最后一场交友趴，我们是怎样撩姐姐的｜「拉拉扯扯」活动回顾,2020-01-06 20:30,北京同志中心,原创,,这样的「拉拉扯扯」你喜欢吗？,https://mp.weixin.qq.com/s/0T6B1-Q_qcxIKDeLEavwug
当一个同性恋选择了结婚,2020-01-05 20:30,GS乐点,,,邢文斐的故事。,https://mp.weixin.qq.com/s/fIDf1c9W1ZKwavjI39Rf9A
志愿者newsletter|12月志愿者干了啥,2020-01-05 20:30,北京同志中心,原创,,年底冲绩效啦！400+服务时长成就达成！,https://mp.weixin.qq.com/s/cMAfiLaVWrdRW4z3AMt9QQ
我们让中国政府第一次说了同性婚姻,2020-01-04 20:30,GS乐点,,,既然大家都需要希望，我们就一起通过行动让希望成真。,https://mp.weixin.qq.com/s/MX-1oXUTpsKx_qnWA3SaHA
1月14日｜京城最火的LGBT职场社交酒会,2020-01-04 20:30,北京同志中心,原创,,等你来~,https://mp.weixin.qq.com/s/jSqajxljCGX1r6NtVQcPkg
喜公益 | 模拟法庭的“重置与思辨”,2020-01-03 20:30,正荣Foundation,,,跨性别者小马完成性别重置手术后，如愿拿到变更的女性身份证。,https://mp.weixin.qq.com/s/dR1hAqr6jUJZJrSwWPuJ9w
民法典同性婚姻拼量动员,2020-01-03 20:30,--,,,民法典草案征求意见。我们建议同性婚姻法典化。,https://mp.weixin.qq.com/s/X0enZbRW3xLI2u1p_OoHbA
北京同志中心跨性别部门2019年回顾,2020-01-02 20:30,北京同志中心,原创,,来看看北同跨性别部门的2019年吧,https://mp.weixin.qq.com/s/l34jjgyHfe35tK_phT2Jew
分享图片,2020-01-01 21:10,--,,,,https://mp.weixin.qq.com/s/1V3bswU3e-3GZQrT_wsHUw
十年终曲： 2019年度同运回首与展望 | 国际篇,2019-12-31 21:52,北京同志中心,,,2019年国际同运大事记,https://mp.weixin.qq.com/s/6cZT77Asoyv56LbLp7N6ww
你可曾想过接下来十年的同志生活？,2019-12-31 21:52,北京同志中心,,,看完记得把你的想象留在评论区呀,https://mp.weixin.qq.com/s/3b_lm0BcxceIIgCagWrQLA
【有范文+可签约】80-200元/篇｜跨之声面向社群内外征稿,2019-12-30 20:30,跨之声团队,,,等你投稿！,https://mp.weixin.qq.com/s/e8HHtAvWPsmlUbIuw68diQ
化身马女士，职场促权益,2019-12-30 20:30,跨之声团队,,,跨性别平等就业权案模拟法庭圆满举行,https://mp.weixin.qq.com/s/Jm6s9TfXgvjomifiZ0MGUg
Bling Bling 的跨年派对哪里有？| 五折优惠，免费香槟，等你来！,2019-12-30 20:30,小红狗,,,座位有限，赶紧抓紧预定哦~,https://mp.weixin.qq.com/s/9DNIGMLZNZPl_Qj-OmSSig
十年终曲： 2019年度同运回首与展望 | 国内篇,2019-12-29 20:30,北京同志中心,原创,,2019年国内同运大事记~,https://mp.weixin.qq.com/s/UhGsBP3Rp_BSzQ4LkY4o8Q
有奖征集丨一件属于LGBT的主题T恤，应该是什么样子的？,2019-12-28 20:30,武汉同志中心,,,LGBT主题T恤怎么做，由你来决定。,https://mp.weixin.qq.com/s/BpGt6BcRLiVPMw0EbUOYng
阿瓦隆 | 天黑请闭眼,2019-12-28 20:30,北京同志中心,,,1月4日阿瓦隆再次发车！,https://mp.weixin.qq.com/s/Mv-zzIVrUT--u1siJarXCw
我有四个北京摩登爱情故事，想讲给你听,2019-12-27 21:26,北京同志中心,,,单纯地为爱而哭，为爱而笑。你想听听他们的故事吗？,https://mp.weixin.qq.com/s/tfSD1AVp0XO0aG1Cj4Ujzw
像被关在地牢里的人，终于准备好敲一敲墙壁｜友善心理咨询招募,2019-12-26 21:15,北京同志中心,原创,,欢迎你来找我们,https://mp.weixin.qq.com/s/16KmZp08De2KX3-bHrzJ2w
这天，媒体们采访了一位成功修改学历的跨性别女孩 ——小小霏采访实录,2019-12-26 21:15,北京同志中心,原创,,希望社会和学校能够明白修改学历对于跨性别伙伴们有多重要，希望有一天他们的修改并不需要这么艰难。,https://mp.weixin.qq.com/s/CD762WwPyQIt7FbgokFquA
毕生理想是出国移民结婚：同性恋在中国有未来吗？,2019-12-25 20:52,乐窝共益,,,答案是肯定的。,https://mp.weixin.qq.com/s/hhDXViFxumYnJ71JHyI7rA
2019年最后的美梦，我们安排上了！,2019-12-24 20:30,BQC北京酷儿合唱团,,,快来。,https://mp.weixin.qq.com/s/JAFJcU3BgLQ_xBof_cil5A
性少数要婚姻权，也要平等就业权,2019-12-24 20:30,镇镇的彩虹,,,现场有专业律师坐镇，确定不来康康？,https://mp.weixin.qq.com/s/KNdtZHOTsMFgi8ItkGVqNw
拉拉扯扯｜陪我跨年的小姐姐在哪里？年度最浪漫交友趴等你来！,2019-12-23 20:54,北京同志中心,原创,,别再问我喜欢什么类型，我又要开始形容你了,https://mp.weixin.qq.com/s/VdcjEqS9p3PL3jp4Ee8dTw
致全国人大法工委的公开信（二）,2019-12-22 20:30,爱成家,,,完善婚姻制度、施行同性婚姻的时机已经成熟。,https://mp.weixin.qq.com/s/ODyti8smJjgUwOfVxIdY1Q
北同的恋人们 | 在一起两年，我欠他一个表白,2019-12-21 20:30,北京同志中心,原创,,欢迎说出你的故事~,https://mp.weixin.qq.com/s/Y7TmsMKdsBD4TwOMhRm6bw
「我们的声音可以被听到」 | 媒体组志愿者招募,2019-12-20 20:16,北京同志中心,,,期待你的加入！,https://mp.weixin.qq.com/s/R8Z0xZQAtiJmRDC5KF8bzw
同性婚姻合法化，一场接力式的法律动员,2019-12-20 20:16,北京同志中心,原创,,你支持“同性婚姻合法化”写入民法典吗？,https://mp.weixin.qq.com/s/yYjC5TkHj7GjUN_DSntdTQ
跨性别家长群志愿者招募,2019-12-19 20:39,北京同志中心,原创,,​家庭支持更能够显著改善跨性别者的心理健康,https://mp.weixin.qq.com/s/c0sSvAlUXo672aDCWri7XA
性、性别与权力 ——由李银河《福柯与性》想到的,2019-12-19 20:39,北京同志中心,原创,,读李银河对福柯的解读，让人更懂福柯，也更懂性与性别。,https://mp.weixin.qq.com/s/zMfhpsFMCs2CVBpN5om3Lg
November Newsletter | What Beijing LGBT Center Did,2019-12-18 21:42,北京同志中心,原创,,Let’s Get Better Together！,https://mp.weixin.qq.com/s/WdD64_EJVVjS_3emPvd_rg
拉拉扯扯｜有小姐姐吗？撩到就陪我跨年！,2019-12-18 21:42,北京同志中心,原创,,撩我嘛？我超甜！,https://mp.weixin.qq.com/s/ycgYUlnUpR12xXFNfvBKUQ
线下活动 | 模拟法庭，邀您来玩！,2019-12-17 20:30,镇镇的彩虹,,,演员已就位，就等你来！,https://mp.weixin.qq.com/s/nNToRxXN_TQL-TA3bluxLg
阿瓦隆 | 天黑请闭眼,2019-12-17 20:30,北京同志中心,原创,,12月21日阿瓦隆再次发车！,https://mp.weixin.qq.com/s/ZJ17uiQly7q83pUa1MlDrg
跨性别家长群志愿者招募,2019-12-16 21:25,北京同志中心,原创,,​家庭支持更能够显著改善跨性别者的心理健康,https://mp.weixin.qq.com/s/vLMCzw8juZh-xZ5oRj5m0Q
这次圣诞舞会，你准备带来什么惊喜? Christmas Ball Invitation,2019-12-15 20:30,小红狗,,,"Strike a pose, there's nothing to it!",https://mp.weixin.qq.com/s/KZhwf0HNZRA5uPs20dtoGA
阿瓦隆 | 天黑请闭眼,2019-12-14 20:30,北京同志中心,原创,,12月21日阿瓦隆再次发车！,https://mp.weixin.qq.com/s/xLcxz_R7neovVAgONy8vNQ
线下活动 | 模拟法庭，邀您来玩！,2019-12-14 20:30,镇镇的彩虹,,,跨性别平等就业权案的社群模拟法庭开始营业啦~,https://mp.weixin.qq.com/s/8LUpfFaZhKadRYFIM58iVw
和男人上床的直男们,2019-12-13 20:30,GS乐点,,,夜里的风吹过来，他忍不住又打一个寒颤。,https://mp.weixin.qq.com/s/wqfUY56Djdg3-uLvZL9ayw
寻找热爱心理学、热爱写作的你,2019-12-13 20:30,北京同志中心,,,心理部门文案志愿者招募,https://mp.weixin.qq.com/s/HuRIFgQOM6PVSlh5c9KWdA
跨性别家长群志愿者招募,2019-12-12 20:30,北京同志中心,原创,,​家庭支持更能够显著改善跨性别者的心理健康,https://mp.weixin.qq.com/s/Dq6FZ8sHbuF0kP345fD_bg
我在现场 | 记全国跨性别平等就业权第一案首次庭审,2019-12-11 21:28,同志权益促进会编辑团队,,,作者 | 江之来自「 彩虹法学院 Lavender Legal 」团队编辑 | FanFan特别鸣谢「同语」,https://mp.weixin.qq.com/s/g7JLeta4ro3ef1Ik37SQAw
本周六活动 | 圣诞节变装派对! A VERY MERRY X-MAS PARTY!,2019-12-11 21:28,--,,,12月14日，来大跃啤酒，和北京同志中心一起庆祝欢脱的酷儿圣诞夜！,https://mp.weixin.qq.com/s/Y-tTfs8j92k9DJ3sjiq_rg
我是在校园里感染的,2019-12-10 20:30,GS乐点,,,她没有给我更好的生活，我也没有更好的方法回报她。,https://mp.weixin.qq.com/s/f319d1Av28yHiidab_xeZw
同性性行为的起源与演化的新猜想,2019-12-10 20:30,北京同志中心,原创,,本是同根生，相煎何太急,https://mp.weixin.qq.com/s/TkvhMTzdayYImTQHVC5hLA
沙龙 | 北京爱情故事,2019-12-09 20:30,北京同志中心,,,所以，你的爱情是怎样呢？,https://mp.weixin.qq.com/s/mcEgWtyQlg9RP9QcqO2bJw
最后一期 | LGBT美剧课第三季即将完结,2019-12-09 20:30,北京同志中心,,,本季最后一期了，还不来看看吗？,https://mp.weixin.qq.com/s/EDU3jNpv9sszfALI1JCuDw
11月Newsletter | 北同11月都做了什么,2019-12-09 20:30,北京同志中心,,,北同11月做了什么？,https://mp.weixin.qq.com/s/vcQsZn758GcTpdi_6puQcw
「发不发声，有意义吗？」 | 媒体组志愿者招募,2019-12-08 20:30,北京同志中心,原创,,期待你的加入！,https://mp.weixin.qq.com/s/vxO0_ao1Nl_SI3YpS1xXKg
#骄傲做自己# 来为北同投票吧！ | ​你是你或是妳都行 - 换装一日实验,2019-12-08 20:30,qafbeijing,,,来为北同投票吧！,https://mp.weixin.qq.com/s/oiUfD5HMbVJqE84fG5FHrw
跨之声新媒体中心志愿者招募启事,2019-12-07 20:30,跨之声团队,,,公众号编辑部、微博编辑部、评论部、漫画制作部、视频制作部五部门联合招募，期待各位朋友报名！,https://mp.weixin.qq.com/s/UC4SPrTLFlhxz9eJfOV2Cw
抑郁症、感染者……即便如此，我想活下去,2019-12-06 21:52,北京同志中心,,,"你为什么这么热爱生活？
因为我想活着哎。",https://mp.weixin.qq.com/s/8uKWAoghMO2xvuzNzLDkGw
首届北京跨性别骄傲节圆满结束！,2019-12-06 21:52,北京同志中心,,,上月，由北京同志中心和多家机构一起筹备和举办的首届北京跨性别骄傲节成功举办，并圆满结束！,https://mp.weixin.qq.com/s/kRErSdfOknANtmkvh0RczQ
被判刑的海淀艾滋青年,2019-12-05 20:56,北京同志中心,原创,,这群被判刑的艾滋青年既是法律意义上的罪犯，却也是社会意义上的弱者。,https://mp.weixin.qq.com/s/znfltLlnk5sxx7YxG4i--w
志愿者报名表上新！,2019-12-05 20:56,北京同志中心,原创,,全年加入通道开启，点一下，就是我们的人了！,https://mp.weixin.qq.com/s/kyPflAHcCsZ2rm3jgrpnYA
讣告,2019-12-04 22:03,北京同志中心,,,昨日一位经常参加中心活动的跨性别朋友永远离开了我们,https://mp.weixin.qq.com/s/_3kpgizhak4RXI7Lkb3apA
志愿者newsletter | 11月志愿者干了啥,2019-12-04 22:03,北京同志中心,,,新增志愿者服务时长,https://mp.weixin.qq.com/s/yE8wgEIgwDkWInXXGhY9VA
刚刚，中国首个跨性别平等就业权案开庭了！,2019-12-03 20:30,镇镇的彩虹,,,案件已开启，等你来报，快来扩散开吧~,https://mp.weixin.qq.com/s/1UpOdGaILl6V59E3eJhn3A
辩论赛 | “请问，我可以睡别人吗？”,2019-12-03 20:30,北京同志中心,原创,,辩手已就位，速来围观！,https://mp.weixin.qq.com/s/FOU6pwxG2ACkCVZGhLY-cw
沙龙 | 北京爱情故事,2019-12-03 20:30,北京同志中心,原创,,所以，你的爱情是怎样呢？,https://mp.weixin.qq.com/s/iF2MpLMBNumpFQlKdD7kfg
最后两节课 | LGBT美剧课第三季进行中,2019-12-02 21:51,北京同志中心,原创,,错过等一年,https://mp.weixin.qq.com/s/HSLnnjmw4eUqPSb6VsWk2Q
拉拉扯扯 | 听说gay把床都摇断了，les还在挤眼？,2019-12-02 21:51,北京同志中心,,,你可能不知道也有把床摇断的les,https://mp.weixin.qq.com/s/5RlvBhcyelumoUHSiWoukA
身为艾滋感染者面对歧视，我带着愤怒，持续说“不”,2019-12-01 20:25,北京同志中心,原创,,写于世界艾滋病日,https://mp.weixin.qq.com/s/F_LB9kO-eogbnF7gkcYI1Q
加入我们，一起为同志社群发声 | 媒体组志愿者招募,2019-11-30 21:58,北京同志中心,原创,,期待你的加入！,https://mp.weixin.qq.com/s/khNgZ51ReWPTVAvIVIZOjw
加入我们，一起为同志社群发声 | 媒体组志愿者招募,2019-11-30 21:31,北京同志中心,原创,,期待你的加入！,https://mp.weixin.qq.com/s/JCi3ZQ56aaBDh_634CO5sw
志愿者招募|辩论赛你说了算！,2019-11-29 20:32,北京同志中心,,,北同招募辩论赛幕后策划,https://mp.weixin.qq.com/s/-wa2jbTRttjxIJoDCsKfeA
辩论赛 |“请问，我可以睡别人吗？”,2019-11-29 20:32,北京同志中心,,,"也许...可以？
辩论赛第二期，等你来辩！",https://mp.weixin.qq.com/s/gZ2YSEwQN_GSYsdVefA71Q
女儿的第二次出柜，颠覆我的人生观,2019-11-28 20:30,丁香园 DXY,,,这是一场爱与控制的角力，是彻底的摧毁，也是重生的开始。,https://mp.weixin.qq.com/s/Sm51eZdSwDR0QkoTdnGSpw
我与一个跨性别相爱了,2019-11-27 20:30,野马君,,,当我向别人介绍女友时，TA们只注意到她是“跨性别”。,https://mp.weixin.qq.com/s/wE55qbjmKT0oOO89ogVmkg
你还说家暴是家务事吗？,2019-11-27 20:30,wecanseeit,,,输入角色名：七七，点击START，开始你的目击者之旅。,https://mp.weixin.qq.com/s/H_xy9C5qMN1yPBf0KcFAqQ
“两个人”系列活动影像作品创作分享会,2019-11-26 21:10,史迪仔,,,有些事只能我们懂，有些话只能我们说。,https://mp.weixin.qq.com/s/EMkyh9dJfUAO2NK-m3T5sw
志愿者招募|辩论赛你说了算！,2019-11-26 21:10,北京同志中心,,,北同招募辩论赛幕后策划,https://mp.weixin.qq.com/s/MP2GFdc9CFzC9qq7m55uig
活动 | Glee LGBT+故事线精讲课程 - 第八期,2019-11-25 21:06,北京同志中心,原创,,校园青春歌舞剧+超有趣英语课等你来参加！,https://mp.weixin.qq.com/s/-L484yIMg86TlNSLaYsMCg
第一届“和谐杯”辩论赛第一轮赛事回顾暨第二轮活动通知,2019-11-25 21:06,北京同志中心,原创,,新辩题，新规则，新挑战！,https://mp.weixin.qq.com/s/bIqfvgE9ZqAqEPlhSRbuVQ
桌游 | 阿瓦隆骑士团开车啦,2019-11-24 20:30,北京同志中心,原创,,你们想要的阿瓦隆来了,https://mp.weixin.qq.com/s/b_7EHTspCWIY4UEYImw-fA
Octorber Newsletter: What the Center did this October,2019-11-23 22:10,北京同志中心,原创,,Let‘s Get Better Together!,https://mp.weixin.qq.com/s/Nr2f7-dT4cOZM7KWh2ke-A
招聘 | 心理部门培训项目专员,2019-11-23 22:10,北京同志中心,原创,,Let‘s Get Better Together!,https://mp.weixin.qq.com/s/85JOliTEv3nb7tGgAXWiNw
「电气女士北京站」女孩创造:只谈你不敢谈的,2019-11-22 22:35,Jorzan,,,你想听的，这里都有~,https://mp.weixin.qq.com/s/vCLyG2tGP5TGffj940uHRw
请刘姐来我家玩 | 东道主招募,2019-11-22 22:35,钟源,,,寻找沙发主~,https://mp.weixin.qq.com/s/T1Y2r5eX-ynDOW5nNrHB2w
“两个人”系列活动影像作品创作分享会,2019-11-22 22:35,史迪仔,,,有些事只有我们懂，有些话只能我们说。,https://mp.weixin.qq.com/s/wrg9rGy9WK9AebDgC11CHw
福利 | 在与感染艾滋的孩子生活一周后，我决定把ta们的电影带到中国,2019-11-21 20:30,别的女孩,,,看到脚趾的伤口，才想起我正和HIV携带者住在一起。,https://mp.weixin.qq.com/s/qFMuALQGvOp-g6YrdDJAxw
你我皆“玫瑰”：一位跨性别者的校园经历,2019-11-21 20:30,北京同志中心,原创,,愿跨性别朋友们都能摆脱冷气，健康而自由地生活,https://mp.weixin.qq.com/s/bVIL5JjMzPhJjhgT5iJP3A
福利｜「心动」吗？BQC合唱俱乐部启动在即！,2019-11-20 20:26,北京酷儿合唱团,,,加入排练，体会和声，回味电影，结交朋友,https://mp.weixin.qq.com/s/b2zqvlLnU3D91Bnu-loUnQ
我记录下一位叫做“喵酱”的跨性别女孩的一天,2019-11-19 21:37,北京同志中心,原创,,,https://mp.weixin.qq.com/s/dsiNGHexymmY2g5pOFz-qA
活动 | Glee LGBT+故事线精讲课程 - 第七期,2019-11-18 20:38,北京同志中心,原创,,校园青春歌舞剧+超有趣英语课等你来参加！,https://mp.weixin.qq.com/s/IJ5dc6ajEcXHgZLsCOQ84w
拉拉扯扯 | TPH，你是哪种拉拉？,2019-11-17 20:30,北京同志中心,原创,,欢迎一起来探讨你对标签的看法,https://mp.weixin.qq.com/s/_Zoia_AtfbX5cvwqij9LxA
那些被性别困扰了许久的人，后来怎么样了？,2019-11-16 20:30,公益大爆炸,,,我们期望以口述历史的方式，谋求全社会对这个问题的关注。,https://mp.weixin.qq.com/s/1zJmbYgAHIrgDch6bUHU4A
赠票 | 「电气女士北京站」女孩创造:只谈你不敢谈的,2019-11-15 20:30,Jorzan,,,你想听的 这里都有,https://mp.weixin.qq.com/s/heSrpj3MhCHC0owU4SlKng
社群发展实习生招募,2019-11-12 20:30,北京同志中心,原创,,你就是社群名媛！,https://mp.weixin.qq.com/s/5nTQ2LEFloqQasdk7BIf2A
