标题,发布日期,作者,是否原创,所属合集,摘要,原文链接
如何面对关系的结束？如何坦然面对基圈内卷？,2023-03-04 22:00,小悟生心理,,,情感交流/基友专场/OH卡牌体验活动,https://mp.weixin.qq.com/s/4YncXPawiYjECmr0A0ugKA
作为一个性多元咨询师，我要向我的来访出柜吗？| 彩虹心理学,2023-03-04 22:00,小悟生心理,,,如果是，要在何时，以何种方式，出于何种目的来完成这种自我暴露？,https://mp.weixin.qq.com/s/5WHNeem4HZnzK7mXQpG-fg
北同春季大招募！职场部、主任办、媒体部、跨性别部、发展部超多岗位等你来,2023-03-01 22:00,尊重多元合作,,,一起为更加多元、友善的环境努力吧~,https://mp.weixin.qq.com/s/ojol4k5WJ7_pslT2UdUFHw
脱掉羽绒服的2月里，期待春天到来 | 赛博办公室,2023-02-28 22:00,尊重多元合作,原创,#办公室,在时间的流淌中静静期待气温升高、春天到来。,https://mp.weixin.qq.com/s/o6I5hX0FRFbU2gCwotXJbw
信息征集！性多元友善心理咨询师、医疗从业者资源地图2.0,2023-02-27 22:00,尊重多元合作,原创,,为了更好地服务社群，重新面向社会大众征集最新的医生/咨询师的信息。,https://mp.weixin.qq.com/s/RHTdF2oP6f83GFigNqhOPw
那些突如其来的孤独感 ，你是怎么处理的？,2023-02-25 22:41,小悟生心理,,,情感交流/职场互助/跨性别专场,https://mp.weixin.qq.com/s/Qd-SmOoqFVQRfaPGJBntjA
艺术表达如何成为滋养心理复原力的土壤？｜彩虹心理学,2023-02-25 22:41,小悟生心理,,,在酷儿世界里，「正常」的东西通通被解构，酷儿们用艺术寻找和平、快乐和爱。,https://mp.weixin.qq.com/s/chb8XLIL11Ghw-E_sKA0mw
北同主任办、媒体部、跨性别部、发展部多岗位实习生招募！,2023-02-24 22:00,尊重多元合作,,,北同实习生大招募，快来看看吧~,https://mp.weixin.qq.com/s/BEXaIVzCETAkfMhfvu24Jw
趁「上野热」发一份书单：读完《厌女》读什么？,2023-02-24 22:00,尊重多元合作,原创,#读完《厌女》读什么,去读书吧，读不糊弄自己的书！,https://mp.weixin.qq.com/s/5XoBw5zQiFSmonYbsf73hQ
北同文化媒体主管招募：我们需要你，和我们一起讲故事,2023-02-23 22:00,尊重多元合作,,,和我们一起讲出本土性多元人群的故事吧！,https://mp.weixin.qq.com/s/iXQ6hFCF2VQhL_sGSroHnQ
一位无性吸引者的自述：跳出规范，探索「我」与「爱」,2023-02-23 22:00,曾仔,原创,#Proud Pond彩虹塘,社会规范下的爱情包含太多我不在意的东西。,https://mp.weixin.qq.com/s/g9eosKM-kCaVRZAyGO_PoA
HIV感染者支持小组招募：一起探索积极心理学吧！,2023-02-22 22:00,尊重多元合作,原创,,HIV感染者支持小组,https://mp.weixin.qq.com/s/okeaXdjZYy0nTafDw1eKSg
暗恋时的情绪，像雾霭，像流岚，像虹霓,2023-02-22 22:00,枕石漱流,原创,#Proud Pond彩虹塘,她就抱着双臂，坐在台阶上，歪着头，等着我。,https://mp.weixin.qq.com/s/0Eqi_G3yxb0OdV16D9Ps7Q
成长中的「困境」丨性多元人群深度小组报名,2023-02-18 22:00,小悟生心理,,,温暖陪伴/个人成长/家庭关系/职场发展,https://mp.weixin.qq.com/s/84SaqxOOyV7R_LRFSXYZnw
如何开启新的恋爱？那些春心萌动的时刻 | 春天恋爱专场,2023-02-18 22:00,小悟生心理,,,情感交流/职场互助/跨性别专场/拉拉专场/基友专场,https://mp.weixin.qq.com/s/HE8gghwbuPppOgCV2zbrFA
与主流性文化「格格不入」的无性恋者，可能面对哪些心理健康问题？｜彩虹心理学,2023-02-18 22:00,小悟生心理,,,由于缺乏性吸引力而又身处由性主导的社会文化中，无性恋群体可能会经历额外的耻辱。,https://mp.weixin.qq.com/s/ojusZJ254w4srfpcc6F_rA
北同文化媒体主管招募：我们需要你，和我们一起讲故事,2023-02-16 22:00,尊重多元合作,,,和我们一起讲出本土性多元人群的故事吧！,https://mp.weixin.qq.com/s/_FWeE67Q2XyCLi7o1JnRHw
既是伴侣，也是战友：我眼中「健康可持续」的亲密关系,2023-02-16 22:00,尊重多元合作,原创,,「有心，有感情，再谈未来。」,https://mp.weixin.qq.com/s/lxcDnhbeLzEcHxdXPRq8CA
一起建设多元友善的职场？职场部门岗位招募！,2023-02-15 22:00,--,,,本次招募岗位包括职场项目经理、职场部门实习生。,https://mp.weixin.qq.com/s/yxpnRlVu0rNIeM5BiKsy5A
角落里，一群酷儿的隐蔽与昭彰,2023-02-15 22:00,彩虹色的,,,一个注定失败的乌托邦，也是开满鲜花的庇护所。,https://mp.weixin.qq.com/s/2LZbRVI5tbM0SlZweLlXfQ
北同开放日：运营部邀你来看看,2023-02-14 22:00,尊重多元合作,原创,,今天是北同成立15周年纪念日，一路走来感恩有你！,https://mp.weixin.qq.com/s/8Nlv7AjaN3PxkBbCmp-7iQ
北同2022年度财务简报披露,2023-02-14 22:00,尊重多元合作,,,财务简报披露,https://mp.weixin.qq.com/s/gE8kI3939d_WuC1MpvO-fA
「我的喜欢像云的余烬」：情人节，读几首爱而不得的诗,2023-02-14 22:00,Sylvia,原创,#Proud Pond彩虹塘,无论怎样，都希望我可以爱得更长久一点。,https://mp.weixin.qq.com/s/UT3WOtuLAl8xssCd35BQEw
关于取消「首届跨性别家长营」的紧急通知,2023-02-13 22:00,--,,,关于取消「首届跨性别家长营」的紧急通知,https://mp.weixin.qq.com/s/Wyo2RO5bQ_ZE_s1B5uEGzw
成长中的「困境」丨性多元人群深度小组报名,2023-02-11 22:00,小悟生心理,,,温暖陪伴/个人成长/家庭关系/职场发展,https://mp.weixin.qq.com/s/X8xQHtGo_J_tujL5hS4PYA
爱与亲密丨性多元女性深度小组报名,2023-02-11 22:00,小悟生心理,,,个人成长/亲密关系,https://mp.weixin.qq.com/s/QctOfaSz4NDTRAV5X1hiJQ
「对不起妈妈，我辜负了你的期待」：性多元群体特有的内疚感,2023-02-11 22:00,小悟生心理,,,这样的话，可能很多同志成长的过程中都听过不少。,https://mp.weixin.qq.com/s/aIsSEnFbqrLc1l2uO2Pbkg
就在本周日！一个专为酷儿社群准备的脱单活动邀请你参加！,2023-02-10 22:00,尊重多元合作,,,希望今年的情人节有人陪你过,https://mp.weixin.qq.com/s/kuBjCB5K3T3rOlAupvy3BA
欢迎光临「帝饭妮的早午餐」,2023-02-10 22:00,尊重多元合作,原创,,2月25日北同✖️东隅 DRAG BRUNCH「帝饭妮的早午餐」正式开票！,https://mp.weixin.qq.com/s/oCtQyAY01gSfGdvE59mOCQ
小悟生心理课程研发经理和实习生招募！,2023-02-08 22:00,小悟生心理,,,一起推动心理行业多元化发展🌈,https://mp.weixin.qq.com/s/iLRfrDFuxt4sGvSfPttJHw
她们去哪了？披荆斩棘的学术界女性｜读完《厌女》读什么 Vol.5,2023-02-08 22:00,尊重多元合作,原创,#读完《厌女》读什么,寻找过往的女性声音、肯定当下的女性声音、鼓励未来的女性声音。,https://mp.weixin.qq.com/s/CChRMFHj7F-AXYvi8K-jVg
戳我！2月线下社交向的活动来啦！,2023-02-07 22:00,--,,,Speed Dating、酷儿读书会、酷儿私话和酷儿之夜，任您挑选！,https://mp.weixin.qq.com/s/ha_2TxRD4aagJmWg1fTZbA
小悟生媒体实习生急招！用内容推动心理行业更加多元化,2023-02-07 22:00,小悟生心理,,,实习生招聘怎么取标题才有人点进来呢？,https://mp.weixin.qq.com/s/K6ueo5kXRaleBywnHznX3w
这里有一份中文跨性别友善语言指南，请查收,2023-02-07 22:00,船思,,,本指南包含5个大项，23份具体建议。,https://mp.weixin.qq.com/s/2XSELYLAHlQZnUsBubGmWQ
通过涂鸦探索自我丨线上创意活动,2023-02-05 22:00,小悟生心理,,,情感交流/自我成长,https://mp.weixin.qq.com/s/Dc5Q0NjIh8xlpmFdJQJAmw
「陪伴亦力量」2023 · 第一届跨性别家长营,2023-02-05 22:00,尊重多元合作,原创,,首届跨性别家长营名额开放中～,https://mp.weixin.qq.com/s/wTTRCKtuBgouDa0xCiE-Ag
源于社群，服务社群：北同跨性别部2022年工作总结,2023-02-05 22:00,尊重多元合作,原创,,没有每一个你的参与，就没有现在的我们。,https://mp.weixin.qq.com/s/pjdgRs8b3ZSZKqulHxS6jA
恋爱要「快餐」还是「马拉松」？如何与直人相处？| 互助小组,2023-02-04 22:00,小悟生心理,,,家庭关系/情感交流/自我成长/跨性别专场,https://mp.weixin.qq.com/s/rdnBZPVi2pIbKT80haLS5w
面对亲友出柜应该如何提供妥帖支持？15条建议,2023-02-04 22:00,小悟生心理,,,当出柜者与你足够亲近和信任，该怎么去表达支持,https://mp.weixin.qq.com/s/jJLVUWK1VNc9gdDcKi5ZHw
志愿者工作坊升级！首期「艾滋病与法律」多元大讲堂来啦,2023-02-01 22:00,尊重多元合作,原创,,共抗艾滋 共享健康,https://mp.weixin.qq.com/s/MEQr2gAv9RVoPlJ0KrVEMQ
性别友好又有趣的工作正在向你招手，确定不看看？,2023-02-01 22:00,尊重多元合作,原创,,如此酷儿的工作机会来了！,https://mp.weixin.qq.com/s/W5hQiJPBQgDrfZBKhXwpBg
叮咚！北同2月活动月历来啦，请查收❤️,2023-02-01 22:00,--,,,叮咚！北同2月活动月历来啦，请查收❤️,https://mp.weixin.qq.com/s/BPdSH8z57vRFd_iUxEMvPQ
为了女儿我下载了热拉：7个同志妈妈的故事,2023-01-31 22:00,尊重多元合作,原创,,「这么多年以来，孩子一个人扛着这么大的秘密，不敢告诉父母。孩子，你辛苦了。」,https://mp.weixin.qq.com/s/zH7umtH8LbgFJ3P3v86Y1g
国内大样本量《2021全国跨性别健康调研报告》正式发布！,2023-01-30 22:00,尊重多元合作,原创,,内容涵盖医疗服务、精神健康、家庭关系、公共空间、校园与工作经历等与跨性别群体息息相关的数个重要方面。,https://mp.weixin.qq.com/s/HSFpurun7c2UBqXBBbYIiQ
分享图片,2023-01-22 10:00,--,,,,https://mp.weixin.qq.com/s/Xw7QHtU9QPOfaDtk8ZPhHg
"余秀华在上一个新年之际写道：「祝福在时代的雾霾之外，我们对视的眼眸里，依旧有圆月升起。」 

祝所有「不一样」的我们，无论几岁、在哪、和谁，永远有圆月为我们升起、有海浪为我们拍打，永远有瞬间因我们而闪耀，春节快乐。🌈",2023-01-21 19:00,--,,,"余秀华在上一个新年之际写道：「祝福在时代的雾霾之外，我们对视的眼眸里，依旧有圆月升起。」 

祝所有「不一样」的我们，无论几岁、在哪、和谁，永远有圆月为我们升起、有海浪为我们拍打，永远有瞬间因我们而闪耀，春节快乐。🌈",https://mp.weixin.qq.com/s/vM410UB2fJ-0svU8501KZw
2022年我成为了能好好照顾植物的人｜征集,2023-01-19 22:00,尊重多元合作,原创,,年末了，想听听你的「已完成」。,https://mp.weixin.qq.com/s/0gZm05TKCNqDRNkaOfgKiA
北同2022年报：用信念和勇气重燃生活的热情,2023-01-19 22:00,尊重多元合作,原创,,我们自己就是希望。,https://mp.weixin.qq.com/s/gUr82TbsO6Oc9pbgeXGLOw
直面我们避而不谈的「羞耻感」｜咨询师专栏,2023-01-18 22:00,刘鑫,,,你的决心将会成为照亮洞穴的手电筒。,https://mp.weixin.qq.com/s/1RXEHnhksEOIAR-JAz1N2g
多元致胜，共融启航：北同职场部2022年工作总结,2023-01-18 22:00,尊重多元合作,原创,,在当下，一同打造一个多元共融的未来。,https://mp.weixin.qq.com/s/C-4QMapBavUmnbf2u7chQA
从这里开始成为性别友善心理咨询师！小悟生金牌课程第八期即将开课,2023-01-17 22:00,小悟生心理,,,为什么你的来访不敢向你出柜？【基础课程】第八期学员火热招募中🔥,https://mp.weixin.qq.com/s/S-tVdmldeuC_jXEGInUO_g
个人年度les影视盘点：终于不用在边角料中找百合了,2023-01-17 22:00,姬开,原创,,「让我们在这些有爱的故事里，展望新一年用力拥抱、用力去爱的自由。」,https://mp.weixin.qq.com/s/gnUj_V_i3f1UCTA1jPIraw
一定要相信自己的不可替代性｜月捐人故事电台vol.3,2023-01-13 22:00,尊重多元合作,原创,,「我们需要不断去交流，不断发生碰撞，然后不断为了同一个目标去努力。」,https://mp.weixin.qq.com/s/w84-2dsVbz0TXk1C99Vfog
仅剩2个名额！LL团体咨询第十期开放招募,2023-01-11 22:00,尊重多元合作,,,2月6日正式开组！,https://mp.weixin.qq.com/s/mIJsByW_qHTN98OvNbXOug
国际著名性心理专家亲授GSRD疗法！本周日重磅直播！,2023-01-11 22:00,--,,,国际著名性心理专家亲授GSRD疗法！本周日重磅直播！,https://mp.weixin.qq.com/s/rxYkryJju-iBURETk_ZlFA
你眼中「健康可持续」的亲密关系，是怎样的？ | 征集,2023-01-10 22:00,尊重多元合作,原创,,定义亲密关系的灵感，来源于过往的经历、电影的场景、还是书中的片段？,https://mp.weixin.qq.com/s/acuxoBIvzDaneEckYhIbMg
「一起酷儿一整年！」北同酷儿月历预售,2023-01-10 22:00,尊重多元合作,原创,,"To be queer, to be proud, to be yourself!",https://mp.weixin.qq.com/s/7qJlpqx998ud8xOhXzJp_Q
周二直播倒计时！春节特别策划：一起聊聊和家人相处的烦恼吧❤️,2023-01-09 22:00,--,,,周二直播倒计时！春节特别策划：一起聊聊和家人相处的烦恼吧❤️,https://mp.weixin.qq.com/s/o5_1_jdPiswM0tUXMAGchQ
直播预告：你的生命值得被重新述说,2023-01-09 22:00,--,,,直播预告：你的生命值得被重新述说,https://mp.weixin.qq.com/s/NpCsKpUugG28tIvaGeUBzg
线上OH卡体验活动报名：遇见你的三重门,2023-01-07 22:00,小悟生心理,,,行动、情绪、认知,https://mp.weixin.qq.com/s/WrGmf23ybrtIOcmH7n0k3Q
你的理想型是什么样的？丨线上互助小组报名（情感场）,2023-01-07 22:00,小悟生心理,,,自我成长/情感交流/亲密关系,https://mp.weixin.qq.com/s/1ZthHPLFAsslzf_mAGN2xA
疫情对性多元群体造成了什么影响？一份全球系统综述,2023-01-07 22:00,小悟生心理,,,心理、生理、社会经济，三方面交织。,https://mp.weixin.qq.com/s/PRziUmVDp89lFdiCzQA2Rg
